sku,inventory_level,historical_sales
ELEC01078,60,"33,38,40,42,41,43,42,40,38,41,44,48"
ELEC01079,133,"26,28,36,36,38,35,32,32,34,37,32,37"
ELEC01080,119,"40,41,46,43,44,43,47,43,40,40,46,41"
ELEC01081,178,"21,27,25,29,30,25,26,24,26,20,30,22"
ELEC01082,149,"24,23,32,28,31,32,32,31,21,22,31,30"
ELEC01083,166,"33,35,39,39,37,42,33,33,34,31,37,41"
ELEC01084,106,"22,22,27,28,28,29,22,24,19,21,25,27"
ELEC01085,99,"33,35,35,37,42,37,43,36,38,41,32,41"
ELEC01086,67,"36,37,40,40,43,44,42,36,40,39,39,50"
ELEC01087,167,"30,35,40,40,37,37,37,35,29,34,40,38"
ELEC01088,94,"18,21,21,25,27,25,19,20,16,20,17,26"
ELEC01089,66,"20,19,27,27,26,29,26,23,19,19,23,33"
ELEC01090,22,"26,34,37,37,38,36,32,37,29,26,31,35"
ELEC01091,187,"19,23,24,25,28,26,21,23,20,22,20,26"
ELEC01092,155,"14,16,19,19,23,17,16,22,20,17,21,25"
ELEC01093,169,"18,22,22,25,28,28,27,27,23,22,31,28"
ELEC01094,109,"31,38,38,41,45,39,38,36,40,34,39,41"
ELEC01095,131,"33,38,43,42,42,42,42,41,39,45,37,39"
ELEC01096,153,"11,12,15,15,21,19,19,13,17,16,12,25"
ELEC01097,22,"23,27,34,34,37,36,29,33,33,29,29,33"
ELEC01098,59,"9,15,20,17,17,21,14,12,12,17,17,12"
ELEC01099,25,"10,16,19,20,22,21,14,15,14,15,17,22"
ELEC01100,29,"28,34,39,38,38,35,33,34,39,33,34,45"
ELEC01101,111,"24,27,28,29,32,31,31,27,26,23,29,31"
ELEC01102,59,"13,16,18,18,19,24,15,16,11,12,17,16"
ELEC01103,195,"37,43,44,47,48,46,42,42,43,47,46,45"
ELEC01104,134,"32,34,38,38,39,34,33,32,35,34,34,40"
ELEC01105,111,"9,15,17,16,20,18,15,12,9,17,11,24"
ELEC01106,152,"16,17,21,20,27,22,22,20,20,15,24,29"
ELEC01107,157,"23,26,30,30,30,27,25,29,22,27,26,34"
ELEC01108,172,"29,33,34,37,45,39,40,35,41,34,41,45"
ELEC01109,185,"31,35,34,35,32,35,35,37,32,33,36,33"
ELEC01110,123,"16,22,24,24,28,24,20,19,17,20,17,26"
ELEC01111,122,"28,30,30,34,33,32,31,24,27,31,30,33"
ELEC01112,170,"15,19,23,21,26,27,20,24,19,15,20,27"
ELEC01113,88,"30,33,38,41,37,37,34,32,34,42,38,40"
ELEC01114,72,"26,29,33,39,40,39,39,33,30,31,28,39"
ELEC01115,70,"14,19,25,24,23,20,22,20,22,20,27,24"
ELEC01116,47,"24,24,27,27,27,33,26,29,28,23,23,34"
ELEC01117,195,"31,37,37,39,41,38,39,35,31,32,38,38"
ELEC01118,189,"28,28,30,33,37,33,32,31,30,30,24,33"
ELEC01119,44,"24,23,29,27,30,30,30,26,29,27,21,29"
ELEC01120,61,"32,33,36,41,41,36,39,33,39,36,44,43"
ELEC01121,66,"12,14,21,21,20,23,22,22,18,13,17,22"
ELEC01122,118,"8,17,18,19,22,19,20,16,13,14,21,17"
ELEC01123,40,"21,27,29,34,31,28,26,23,23,31,31,29"
ELEC01124,181,"16,19,19,22,23,20,20,17,22,21,23,23"
ELEC01125,154,"27,35,33,36,37,37,37,36,29,33,29,35"
ELEC01126,86,"18,21,27,24,28,24,24,29,22,24,26,32"
ELEC01127,188,"14,14,20,19,22,16,21,16,16,20,17,24"
ELEC01128,68,"40,42,40,46,42,44,44,39,43,38,42,41"
ELEC01129,166,"22,22,27,26,30,22,24,26,21,21,21,25"
ELEC01130,35,"19,21,27,30,31,24,23,24,23,28,23,33"
ELEC01131,93,"18,17,22,25,27,22,18,21,19,23,22,24"
ELEC01132,79,"12,11,16,20,15,17,20,20,16,14,14,20"
ELEC01133,196,"12,16,19,24,24,23,16,24,14,19,23,21"
ELEC01134,109,"17,24,25,28,27,27,26,19,25,25,20,30"
ELEC01135,129,"32,35,37,35,38,39,36,32,32,32,29,41"
ELEC01136,80,"34,40,41,48,48,46,47,41,40,42,47,44"
ELEC01137,193,"20,24,28,26,29,25,30,24,22,26,26,30"
ELEC01138,48,"13,14,20,20,23,15,19,12,12,13,21,22"
ELEC01139,86,"24,31,35,33,36,39,32,29,32,35,31,37"
ELEC01140,61,"11,12,16,19,22,17,14,16,16,16,19,24"
ELEC01141,132,"29,32,37,37,35,37,34,34,32,37,40,40"
ELEC01142,137,"36,36,38,42,41,43,40,41,35,42,37,36"
ELEC01143,130,"14,22,25,26,26,25,24,23,19,18,19,29"
ELEC01144,131,"25,28,34,37,34,33,34,25,28,29,32,30"
ELEC01145,133,"18,18,21,27,25,26,20,19,16,18,16,28"
ELEC01146,172,"27,34,34,37,37,36,34,34,32,34,34,38"
ELEC01147,115,"20,21,27,31,28,29,28,28,22,22,24,23"
ELEC01148,74,"33,36,42,43,42,48,38,39,42,36,42,45"
ELEC01149,85,"32,34,34,35,39,36,37,38,32,35,40,36"
ELEC01150,40,"14,13,19,21,21,20,19,21,12,20,15,17"
ELEC01151,68,"20,22,24,26,29,29,31,21,25,25,30,25"
ELEC01152,124,"10,17,18,18,21,22,16,20,11,13,11,16"
ELEC01153,22,"31,36,39,39,41,35,35,33,36,35,34,39"
ELEC01154,68,"41,44,48,51,49,50,43,46,43,41,47,48"
ELEC01155,73,"32,34,38,36,40,38,35,37,38,30,39,38"
ELEC01156,180,"21,22,27,24,27,24,27,22,24,26,23,32"
ELEC01157,135,"33,39,45,43,42,39,41,41,36,37,41,35"
ELEC01158,129,"30,35,40,35,42,37,38,32,35,30,34,41"
ELEC01159,72,"34,41,42,47,46,44,42,41,39,39,39,38"
ELEC01160,21,"15,19,22,24,20,20,16,17,21,18,17,21"
ELEC01161,48,"33,34,39,41,42,42,39,37,40,36,35,37"
ELEC01162,45,"36,37,39,39,43,42,39,41,34,35,40,37"
ELEC01163,186,"41,43,43,49,43,48,49,41,43,43,47,46"
ELEC01164,49,"36,39,41,43,47,44,41,45,42,38,47,51"
ELEC01165,63,"25,29,27,30,31,32,28,26,26,21,25,27"
ELEC01166,172,"25,30,32,34,35,32,32,33,28,30,26,30"
ELEC01167,119,"31,35,39,36,37,37,35,32,36,32,35,45"
ELEC01168,132,"27,32,36,33,39,38,33,32,32,36,38,41"
ELEC01169,32,"38,42,49,51,48,47,44,47,39,42,46,44"
ELEC01170,45,"34,37,43,42,40,40,36,38,35,42,36,42"
ELEC01171,166,"37,36,43,44,42,40,42,34,34,38,45,40"
ELEC01172,142,"30,36,38,38,37,40,38,33,32,35,34,38"
ELEC01173,99,"32,37,38,39,36,40,38,37,36,33,39,40"
ELEC01174,76,"24,28,31,28,28,27,27,26,24,26,31,36"
ELEC01175,87,"16,20,22,21,20,23,18,18,19,21,13,26"
ELEC01176,54,"21,25,26,26,28,28,29,26,22,29,21,25"
ELEC01177,176,"10,14,20,21,22,18,16,11,12,19,17,18"
ELEC01178,68,"16,19,20,24,25,23,15,22,20,15,23,21"
ELEC01179,99,"27,29,32,34,36,35,31,31,28,35,32,33"
ELEC01180,58,"25,25,32,33,30,29,30,28,27,28,31,32"
ELEC01181,137,"10,14,19,17,19,20,16,15,10,18,16,17"
ELEC01182,174,"28,33,35,36,35,36,30,34,32,31,33,35"
ELEC01183,193,"14,14,16,17,21,22,13,17,18,20,21,25"
ELEC01184,187,"10,14,18,23,20,20,17,15,17,13,19,22"
ELEC01185,44,"22,28,26,33,30,27,27,25,28,23,27,35"
ELEC01186,75,"38,39,41,46,44,46,43,40,41,42,44,43"
ELEC01187,199,"29,34,33,40,35,34,29,30,30,35,32,39"
ELEC01188,81,"24,28,36,36,38,31,32,30,27,31,29,36"
ELEC01189,37,"24,28,29,30,32,35,31,35,27,33,35,34"
ELEC01190,120,"40,39,43,45,49,50,45,38,41,42,46,41"
ELEC01191,91,"38,43,48,46,46,45,43,45,43,47,44,48"
ELEC01192,64,"39,42,43,48,42,44,45,43,40,40,39,39"
ELEC01193,120,"22,24,30,27,28,31,31,25,21,24,30,31"
ELEC01194,87,"23,27,27,32,26,31,25,27,21,23,18,26"
ELEC01195,154,"25,24,28,33,30,29,29,26,27,28,28,37"
ELEC01196,41,"15,18,24,20,27,27,23,23,16,22,20,22"
ELEC01197,87,"12,15,17,18,19,17,14,13,18,13,15,12"
ELEC01198,30,"18,26,29,31,26,28,26,29,24,30,29,36"
ELEC01199,148,"20,22,27,30,31,28,27,24,23,26,29,31"
ELEC01200,101,"32,33,37,36,38,35,38,39,34,34,38,44"
ELEC01201,200,"30,31,36,39,38,39,30,34,39,39,36,38"
ELEC01202,132,"31,39,42,42,45,38,42,41,41,40,46,40"
ELEC01203,145,"21,25,27,34,32,31,25,27,25,24,28,37"
ELEC01204,76,"11,12,19,14,19,14,14,12,13,15,19,14"
ELEC01205,83,"28,27,32,36,33,30,30,29,27,28,26,27"
ELEC01206,159,"35,40,40,46,44,41,44,43,40,38,43,45"
ELEC01207,47,"28,31,38,38,41,35,34,40,29,37,37,40"
ELEC01208,106,"21,23,27,27,28,30,27,23,22,24,22,31"
ELEC01209,103,"31,37,41,37,41,43,36,35,32,36,33,40"
ELEC01210,72,"18,22,23,24,27,25,24,25,20,18,21,23"
ELEC01211,118,"33,36,37,40,40,39,38,34,37,31,32,34"
ELEC01212,81,"26,26,34,32,37,31,33,28,25,29,36,32"
ELEC01213,86,"41,43,43,49,49,46,42,44,43,43,42,43"
ELEC01214,50,"20,23,23,24,29,24,23,25,22,21,27,30"
ELEC01215,139,"10,16,19,21,23,18,16,12,12,9,14,12"
ELEC01216,63,"33,36,41,43,36,41,34,33,35,40,37,38"
ELEC01217,32,"34,37,38,41,41,39,42,36,37,36,36,40"
ELEC01218,86,"31,32,34,38,36,33,31,29,28,31,31,33"
ELEC01219,156,"24,27,29,28,31,31,28,28,28,31,22,36"
ELEC01220,116,"20,27,30,33,30,33,31,28,27,25,30,31"
ELEC01221,68,"17,21,28,27,29,30,21,24,20,27,22,27"
ELEC01222,33,"21,23,28,27,26,32,23,26,22,21,20,28"
ELEC01223,200,"36,44,48,45,47,42,43,41,44,41,45,48"
ELEC01224,143,"18,17,24,21,25,27,24,21,25,19,27,24"
ELEC01225,104,"15,15,18,22,20,17,21,15,18,13,18,15"
ELEC01226,163,"18,22,23,27,27,28,21,19,27,20,26,29"
ELEC01227,181,"32,38,40,42,42,44,39,40,35,32,38,35"
ELEC01228,193,"34,38,40,39,44,43,39,40,39,41,45,48"
ELEC01229,79,"39,41,44,45,45,49,39,44,39,42,40,41"
ELEC01230,164,"12,21,22,19,24,24,20,22,22,17,22,18"
ELEC01231,136,"36,44,46,49,50,47,43,39,38,41,49,48"
ELEC01232,81,"28,31,33,34,35,36,35,35,32,35,36,34"
ELEC01233,27,"38,42,44,51,47,42,45,45,40,47,39,42"
ELEC01234,155,"34,39,43,46,43,39,40,36,39,39,40,47"
ELEC01235,149,"9,14,18,15,22,18,13,12,16,17,15,18"
ELEC01236,70,"33,36,40,39,45,42,38,41,42,35,33,44"
ELEC01237,117,"22,24,25,30,30,29,31,26,27,25,24,35"
ELEC01238,94,"34,35,39,41,44,40,38,36,40,39,37,47"
ELEC01239,44,"31,29,37,39,37,35,30,31,29,32,36,43"
ELEC01240,105,"31,38,38,42,42,43,41,35,36,38,35,44"
ELEC01241,121,"11,15,19,23,24,24,17,17,15,16,22,16"
ELEC01242,146,"25,26,30,31,35,33,30,30,24,29,35,29"
ELEC01243,173,"21,24,28,30,25,24,27,25,24,22,21,29"
ELEC01244,55,"27,33,36,35,34,35,33,34,29,29,35,32"
ELEC01245,61,"15,18,20,23,20,22,17,18,16,22,18,22"
ELEC01246,172,"35,40,43,49,46,45,47,40,41,40,47,47"
ELEC01247,170,"13,16,24,25,22,22,18,17,17,18,20,21"
ELEC01248,87,"19,26,27,31,32,24,32,31,28,26,24,37"
ELEC01249,52,"31,35,35,37,39,37,41,41,41,39,39,46"
ELEC01250,72,"26,33,36,37,35,36,31,34,28,33,30,31"
ELEC01251,79,"33,32,37,40,42,40,39,32,35,34,31,40"
ELEC01252,165,"9,13,21,20,24,16,22,17,16,9,19,25"
ELEC01253,114,"34,39,40,40,38,40,38,38,35,36,37,38"
ELEC01254,88,"18,19,22,28,26,27,21,23,20,23,29,24"
ELEC01255,173,"16,22,27,29,25,26,24,24,23,20,23,29"
ELEC01256,162,"38,42,43,46,42,42,47,38,38,42,47,40"
ELEC01257,152,"13,20,19,23,23,24,18,18,15,13,21,26"
ELEC01258,170,"29,30,29,34,36,35,35,30,30,28,35,40"
ELEC01259,70,"27,26,30,33,33,37,29,24,30,30,28,38"
ELEC01260,131,"35,39,40,39,39,38,39,31,37,38,36,34"
ELEC01261,31,"11,14,19,22,20,21,15,16,12,11,13,15"
ELEC01262,145,"30,33,35,40,40,35,37,34,27,33,32,34"
ELEC01263,74,"27,33,35,39,40,36,33,33,32,30,33,34"
ELEC01264,187,"15,16,20,24,20,22,20,15,17,17,23,28"
ELEC01265,141,"28,29,33,38,32,36,37,33,35,28,32,42"
ELEC01266,35,"31,33,34,35,36,36,36,33,37,33,40,44"
ELEC01267,161,"28,32,34,37,36,34,36,31,33,24,26,36"
ELEC01268,143,"35,42,45,45,46,45,44,43,43,39,45,48"
ELEC01269,156,"16,17,21,25,25,22,20,24,23,25,19,26"
ELEC01270,108,"33,40,41,48,43,39,44,39,38,36,41,40"
ELEC01271,182,"22,26,27,28,30,28,30,29,22,18,30,28"
ELEC01272,177,"28,34,35,36,37,33,41,34,35,28,39,36"
ELEC01273,93,"19,27,30,29,28,29,29,25,20,21,27,24"
ELEC01274,103,"13,16,22,23,25,23,26,20,24,22,17,19"
ELEC01275,141,"32,36,34,35,36,33,38,34,32,29,37,42"
ELEC01276,162,"37,36,39,42,44,42,42,38,35,35,42,41"
ELEC01277,144,"32,38,40,45,47,45,43,40,43,36,38,46"
ELEC01278,63,"13,16,20,19,16,14,19,17,17,15,19,25"
ELEC01279,87,"23,27,31,28,28,30,30,28,29,30,32,37"
ELEC01280,84,"17,22,27,30,29,23,26,26,20,23,24,28"
ELEC01281,24,"27,30,34,37,38,35,35,28,33,31,35,36"
ELEC01282,100,"18,18,24,25,25,24,25,19,19,22,24,31"
ELEC01283,189,"30,30,36,35,38,40,33,34,31,39,29,39"
ELEC01284,184,"23,28,31,28,31,26,26,22,28,23,26,33"
ELEC01285,59,"10,13,14,17,16,20,18,12,14,18,17,16"
ELEC01286,125,"17,24,27,29,26,27,21,21,22,18,23,25"
ELEC01287,199,"26,29,32,36,35,31,32,32,31,30,36,39"
ELEC01288,89,"22,26,27,34,29,31,32,26,28,32,26,37"
ELEC01289,149,"34,37,40,38,39,41,40,36,29,33,40,35"
ELEC01290,143,"13,12,15,18,21,17,17,16,15,17,21,14"
ELEC01291,178,"29,29,32,33,38,36,34,31,34,31,35,31"
ELEC01292,43,"36,40,39,42,44,43,41,39,36,41,44,42"
ELEC01293,142,"14,21,22,22,19,19,20,20,15,19,19,25"
ELEC01294,93,"12,18,17,20,24,25,19,19,17,21,21,22"
ELEC01295,164,"15,19,26,25,22,26,17,26,24,22,18,30"
ELEC01296,22,"12,14,14,15,15,15,14,14,17,12,19,18"
ELEC01297,78,"32,33,34,39,35,37,36,32,30,37,39,43"
ELEC01298,74,"12,19,21,21,22,17,22,21,14,17,24,19"
ELEC01299,57,"13,17,16,18,19,17,18,15,14,13,18,24"
ELEC01300,173,"21,22,25,29,29,23,22,26,17,25,24,26"
ELEC01301,108,"29,34,36,38,36,31,36,28,38,34,37,42"
ELEC01302,157,"32,37,43,39,43,44,39,37,36,35,40,38"
ELEC01303,74,"26,29,35,38,34,32,32,32,36,30,28,33"
ELEC01304,151,"31,32,34,36,37,38,38,37,38,34,39,37"
ELEC01305,65,"24,26,26,30,27,29,29,27,30,27,28,37"
ELEC01306,59,"32,35,36,40,38,40,40,37,32,33,37,33"
ELEC01307,30,"21,25,26,30,29,30,30,23,31,24,34,32"
ELEC01308,152,"28,29,31,34,30,32,29,31,28,32,28,31"
ELEC01309,29,"23,32,32,34,32,31,36,33,32,28,25,33"
ELEC01310,74,"34,39,45,47,44,49,37,41,44,39,40,46"
ELEC01311,194,"22,24,30,28,33,33,32,23,26,30,27,33"
ELEC01312,198,"34,36,41,38,43,38,34,33,35,41,38,35"
ELEC01313,21,"39,42,41,47,47,46,45,38,41,47,42,44"
ELEC01314,31,"30,35,39,40,40,41,36,33,36,34,41,35"
ELEC01315,131,"16,20,22,24,25,23,25,18,24,20,22,27"
ELEC01316,35,"15,18,20,25,23,22,20,19,16,14,20,18"
ELEC01317,78,"11,18,18,24,23,22,20,18,15,21,16,21"
ELEC01318,45,"18,18,24,23,25,22,23,25,19,21,21,22"
ELEC01319,178,"13,14,14,18,23,18,16,21,15,13,16,16"
ELEC01320,28,"30,37,39,41,38,41,41,37,41,32,42,40"
ELEC01321,120,"34,40,38,40,42,41,37,40,32,36,37,38"
ELEC01322,192,"29,36,40,36,40,38,34,38,29,33,44,41"
ELEC01323,28,"24,26,29,29,30,31,28,26,31,25,30,33"
ELEC01324,39,"20,21,23,29,23,28,23,26,19,23,24,28"
ELEC01325,194,"17,18,23,23,23,22,24,15,24,23,17,26"
ELEC01326,166,"35,34,41,38,46,44,39,38,38,40,38,38"
ELEC01327,68,"19,22,30,31,26,32,28,25,30,24,33,34"
ELEC01328,82,"20,24,26,28,24,26,26,26,26,22,27,25"
ELEC01329,198,"33,32,36,35,38,42,41,32,33,41,34,31"
ELEC01330,107,"17,20,23,24,30,21,23,25,21,22,24,29"
ELEC01331,45,"13,11,18,20,18,14,17,14,17,18,17,26"
ELEC01332,114,"34,34,38,42,37,40,38,41,31,39,42,37"
ELEC01333,93,"16,21,25,23,25,24,20,22,21,17,23,25"
ELEC01334,113,"25,31,30,32,33,35,33,30,29,36,27,33"
ELEC01335,93,"27,29,35,34,34,32,30,32,26,31,35,34"
ELEC01336,23,"18,21,22,25,28,28,25,19,27,20,23,20"
ELEC01337,48,"17,24,23,25,27,25,29,25,21,22,22,32"
ELEC01338,149,"30,36,36,40,38,40,35,37,35,37,36,40"
ELEC01339,82,"35,35,42,39,43,39,36,39,40,38,37,48"
ELEC01340,98,"21,21,22,30,26,27,26,28,21,22,24,21"
ELEC01341,181,"28,32,35,34,35,36,35,34,32,30,32,30"
ELEC01342,141,"9,11,16,18,18,18,17,20,13,8,14,11"
ELEC01343,88,"33,37,39,39,39,37,39,34,41,35,34,41"
ELEC01344,145,"21,22,27,30,25,25,23,21,22,22,25,24"
ELEC01345,73,"38,44,43,44,45,46,40,40,46,42,49,48"
ELEC01346,176,"29,30,34,34,38,31,29,31,30,33,33,35"
ELEC01347,49,"30,33,34,32,36,33,36,35,34,27,34,33"
ELEC01348,27,"12,13,18,17,22,17,18,12,16,16,15,22"
ELEC01349,49,"18,24,27,31,30,28,25,24,24,25,24,35"
ELEC01350,154,"32,37,39,44,43,39,39,37,36,35,40,45"
ELEC01351,42,"28,30,35,32,38,39,36,28,33,29,40,40"
ELEC01352,29,"40,39,44,44,44,48,42,39,45,41,40,44"
ELEC01353,123,"30,33,33,36,35,39,36,33,34,30,32,33"
ELEC01354,41,"9,18,21,16,20,18,17,19,16,21,22,22"
ELEC01355,77,"21,24,24,26,29,31,26,23,23,28,26,34"
ELEC01356,84,"22,24,27,30,30,29,30,26,23,26,20,34"
ELEC01357,64,"34,34,37,39,42,39,38,39,38,29,36,46"
ELEC01358,185,"39,43,45,47,45,45,43,46,42,43,40,45"
ELEC01359,175,"37,40,42,44,49,49,43,40,41,43,45,47"
ELEC01360,130,"20,23,27,29,30,28,30,25,26,26,25,35"
ELEC01361,197,"15,20,19,25,21,25,20,19,15,22,17,31"
ELEC01362,55,"37,37,39,39,44,40,40,36,43,36,39,38"
ELEC01363,174,"21,24,26,28,25,25,23,31,22,26,19,23"
ELEC01364,164,"26,29,30,36,34,31,33,33,27,29,27,39"
ELEC01365,197,"16,22,24,25,25,23,26,23,24,19,26,24"
ELEC01366,136,"22,29,30,28,31,34,29,27,25,27,23,26"
ELEC01367,121,"13,13,14,20,19,19,19,19,21,14,16,21"
ELEC01368,103,"31,31,31,33,39,40,34,31,33,38,33,30"
ELEC01369,95,"26,32,32,33,33,29,32,32,28,32,34,39"
ELEC01370,77,"31,35,38,41,43,36,42,41,38,36,39,46"
ELEC01371,145,"21,22,29,26,28,29,26,24,22,24,28,29"
ELEC01372,147,"11,14,16,18,21,20,17,17,16,14,12,21"
ELEC01373,161,"21,26,26,24,30,24,23,20,21,20,25,28"
ELEC01374,65,"23,24,29,32,31,30,30,30,25,30,35,31"
ELEC01375,195,"18,25,25,27,30,29,26,27,25,19,27,27"
ELEC01376,150,"17,23,28,27,27,23,22,27,21,21,28,35"
ELEC01377,149,"24,28,29,30,31,31,31,24,28,23,30,34"
ELEC01378,167,"32,36,35,39,35,37,33,32,30,39,29,41"
ELEC01379,88,"11,18,20,21,21,19,21,15,13,18,14,24"
ELEC01380,115,"32,36,37,42,43,41,42,35,38,37,41,40"
ELEC01381,51,"28,30,34,37,34,31,36,32,30,32,30,37"
ELEC01382,131,"26,33,37,34,40,36,35,34,32,31,39,40"
ELEC01383,26,"32,40,44,38,44,44,38,36,40,38,41,41"
ELEC01384,61,"17,21,23,27,26,22,19,23,15,22,23,26"
ELEC01385,141,"13,14,22,22,20,17,17,16,18,14,17,17"
ELEC01386,50,"28,35,38,39,37,35,32,34,36,27,39,37"
ELEC01387,200,"29,33,36,38,35,40,36,34,31,27,33,36"
ELEC01388,25,"41,40,45,45,50,46,39,41,41,42,43,40"
ELEC01389,154,"27,27,32,33,34,34,29,25,28,27,32,34"
ELEC01390,175,"9,15,14,20,18,18,17,13,15,16,20,21"
ELEC01391,32,"30,36,40,39,37,40,37,35,36,30,38,33"
ELEC01392,66,"18,23,27,24,26,25,27,26,24,28,22,23"
ELEC01393,47,"34,35,39,43,44,44,40,42,37,30,40,42"
ELEC01394,103,"15,15,19,24,24,24,19,17,13,19,18,23"
ELEC01395,113,"36,37,42,48,46,41,43,43,40,42,41,51"
ELEC01396,102,"13,15,14,18,21,19,16,12,16,10,20,13"
ELEC01397,125,"27,31,35,35,34,32,33,27,27,32,27,29"
ELEC01398,164,"29,37,38,40,37,39,32,41,36,35,36,42"
ELEC01399,27,"11,15,21,24,18,23,16,18,17,20,21,22"
ELEC01400,139,"36,41,49,44,47,46,45,49,46,40,47,50"
ELEC01401,165,"33,35,40,40,42,42,39,36,38,37,38,37"
ELEC01402,135,"16,20,25,26,28,29,19,26,24,19,25,27"
ELEC01403,31,"42,45,47,49,45,49,46,43,47,47,41,51"
ELEC01404,140,"24,26,27,31,28,32,27,26,23,28,25,31"
ELEC01405,191,"18,24,23,26,29,30,24,25,21,27,27,29"
ELEC01406,30,"11,15,19,18,21,17,18,18,11,13,17,13"
ELEC01407,102,"28,28,33,35,37,37,32,34,29,32,35,35"
ELEC01408,154,"41,44,47,50,52,49,44,43,44,38,47,50"
ELEC01409,45,"18,19,20,21,29,23,22,23,22,18,15,27"
ELEC01410,176,"20,27,27,25,32,29,31,24,26,21,29,29"
ELEC01411,141,"34,35,41,45,46,41,39,39,35,35,38,49"
ELEC01412,42,"16,19,24,24,22,24,20,23,19,23,23,29"
ELEC01413,139,"24,30,30,35,36,32,36,33,30,32,30,33"
ELEC01414,101,"28,30,31,39,37,36,36,35,33,26,39,30"
ELEC01415,50,"17,20,23,29,29,26,26,21,25,25,28,30"
ELEC01416,200,"9,13,15,20,20,19,19,14,15,15,14,23"
ELEC01417,82,"36,42,41,48,44,41,45,44,38,46,39,44"
ELEC01418,147,"14,19,23,26,26,23,23,21,19,25,25,21"
ELEC01419,116,"14,15,20,20,21,22,21,17,16,16,18,17"
ELEC01420,22,"9,17,17,16,24,20,19,20,20,18,20,19"
ELEC01421,146,"35,37,39,43,47,43,42,42,35,40,36,43"
ELEC01422,185,"28,33,36,36,34,33,36,29,32,35,33,32"
ELEC01423,155,"32,36,39,40,40,40,38,39,38,30,36,39"
ELEC01424,76,"10,15,17,19,19,16,14,13,15,19,15,22"
ELEC01425,28,"12,14,21,23,19,21,18,14,17,24,22,17"
ELEC01426,150,"21,22,28,31,29,26,23,23,25,29,23,31"
ELEC01427,194,"38,43,45,45,45,43,42,39,45,47,40,50"
ELEC01428,22,"17,22,25,24,25,26,26,24,25,23,20,27"
ELEC01429,190,"36,42,41,40,45,43,40,40,36,41,48,39"
ELEC01430,75,"21,27,28,29,32,31,25,25,23,21,29,29"
ELEC01431,47,"15,19,23,22,29,25,24,18,26,26,21,27"
ELEC01432,143,"22,23,25,28,29,27,26,28,28,18,22,27"
ELEC01433,83,"33,36,37,39,41,37,40,34,42,34,35,45"
ELEC01434,117,"20,23,26,25,28,29,26,20,23,27,29,31"
ELEC01435,90,"29,34,33,34,39,39,35,35,30,28,35,42"
ELEC01436,145,"25,25,33,32,32,31,30,32,26,31,27,36"
ELEC01437,117,"28,30,34,37,37,38,35,36,28,38,35,33"
ELEC01438,166,"16,17,21,24,24,23,21,14,21,14,25,25"
ELEC01439,92,"11,17,18,18,22,19,24,17,17,21,16,21"
ELEC01440,146,"24,29,30,35,29,32,30,27,24,24,24,41"
ELEC01441,67,"39,43,48,50,45,48,40,49,40,43,44,49"
ELEC01442,158,"13,14,21,21,24,17,21,18,13,17,14,20"
ELEC01443,186,"15,17,23,23,21,23,18,19,22,18,24,19"
ELEC01444,191,"36,38,43,46,48,45,44,41,44,36,40,52"
ELEC01445,144,"15,17,19,23,23,22,23,20,20,14,14,28"
ELEC01446,165,"28,29,34,36,31,31,31,30,35,32,33,36"
ELEC01447,71,"11,14,20,17,22,16,18,13,14,13,18,19"
ELEC01448,40,"30,35,41,41,42,44,36,41,35,34,41,44"
ELEC01449,96,"28,34,34,38,42,41,35,35,30,41,33,41"
ELEC01450,116,"12,17,14,20,18,15,15,19,12,14,14,18"
ELEC01451,103,"16,17,19,20,23,22,20,22,14,22,26,27"
ELEC01452,27,"28,31,33,38,36,37,33,35,36,27,37,39"
ELEC01453,145,"9,13,13,19,15,15,19,15,14,15,10,22"
ELEC01454,172,"15,23,23,26,26,23,21,22,20,17,17,22"
ELEC01455,42,"28,33,34,38,34,36,31,27,34,33,33,37"
ELEC01456,54,"22,22,31,33,29,31,25,23,29,21,28,29"
ELEC01457,37,"30,36,37,43,35,40,34,34,31,36,32,38"
ELEC01458,196,"15,13,21,19,25,17,16,14,22,18,14,13"
ELEC01459,133,"28,28,33,33,34,30,31,31,30,28,31,31"
ELEC01460,200,"33,38,38,40,40,43,37,40,42,43,44,41"
ELEC01461,88,"28,32,36,38,33,37,30,31,29,33,31,40"
ELEC01462,70,"33,32,40,37,42,39,34,38,34,35,33,43"
ELEC01463,118,"35,42,41,45,43,39,43,42,42,38,40,50"
ELEC01464,148,"13,22,20,22,23,22,24,19,22,17,18,21"
ELEC01465,52,"35,38,45,42,45,40,39,40,44,42,44,42"
ELEC01466,140,"29,31,33,38,36,40,33,31,30,31,32,39"
ELEC01467,115,"25,31,31,34,37,31,37,35,35,31,30,29"
ELEC01468,155,"42,41,47,50,44,49,46,47,48,43,45,48"
ELEC01469,176,"31,39,43,41,41,41,41,36,39,42,42,40"
ELEC01470,83,"34,38,42,42,39,41,37,44,38,40,40,44"
ELEC01471,84,"39,43,46,48,45,48,45,42,41,45,46,49"
ELEC01472,90,"23,22,29,29,27,31,27,24,23,23,23,32"
ELEC01473,21,"38,42,42,44,47,45,44,44,36,41,39,42"
ELEC01474,69,"9,18,20,20,21,21,18,17,12,17,22,27"
ELEC01475,29,"37,46,47,46,47,47,46,45,40,42,49,46"
ELEC01476,190,"10,15,21,17,20,15,19,18,18,12,16,16"
